time,callsign,latitude,longitude,tas,heading,altitude
2016-08-15 17:01:02,A5,37.61769,-122.37868,11,188,0.13
2016-08-15 17:01:03,A5,37.61764,-122.37869,11,206,0.13
2016-08-15 17:01:04,A5,37.61759,-122.3787,11,206,0.13
2016-08-15 17:01:06,A5,37.61755,-122.37878,12,254,0.13
2016-08-15 17:01:07,A5,37.61748,-122.37881000000002,11,215,0.13
2016-08-15 17:01:08,A5,37.61744,-122.37886,9,241,0.13
2016-08-15 17:01:09,A5,37.61743,-122.37887,10,235,0.13
2016-08-15 17:01:10,A5,37.61741,-122.3789,7,246,0.13
2016-08-15 17:01:11,A5,37.61738,-122.37894,7,243,0.13
2016-08-15 17:01:12,A5,37.61736,-122.37896,8,235,0.13
2016-08-15 17:01:13,A5,37.61734000000001,-122.37899,8,246,0.13
2016-08-15 17:01:14,A5,37.61731,-122.37903,8,243,0.13
2016-08-15 17:01:15,A5,37.61728,-122.37906,9,235,0.13
2016-08-15 17:01:16,A5,37.61725,-122.3791,10,243,0.13
2016-08-15 17:01:17,A5,37.61721,-122.37914,10,235,0.13
2016-08-15 17:01:18,A5,37.61718,-122.37918,10,243,0.13
2016-08-15 17:01:19,A5,37.61715,-122.37922,10,243,0.13
2016-08-15 17:01:20,A5,37.61712,-122.37926000000002,9,243,0.13
2016-08-15 17:01:21,A5,37.6171,-122.37929,8,246,0.13
2016-08-15 17:01:22,A5,37.61707,-122.37931,6,224,0.13
2016-08-15 17:01:23,A5,37.61706,-122.37933,6,254,0.13
2016-08-15 17:01:24,A5,37.61704,-122.37933999999998,7,218,0.13
2016-08-15 17:01:25,A5,37.61702,-122.37938,6,254,0.13
2016-08-15 17:01:26,A5,37.61701,-122.37942,7,269,0.13
2016-08-15 17:01:29,A5,37.61705,-122.37952,7,313,0.13
2016-08-15 17:01:30,A5,37.61703,-122.37957,8,260,0.13
2016-08-15 17:01:32,A5,37.61701,-122.37959,8,235,0.13
2016-08-15 17:01:33,A5,37.61702,-122.37964,7,301,0.13
2016-08-15 17:01:34,A5,37.61702,-122.37968,6,287,0.13
2016-08-15 17:01:35,A5,37.61702,-122.37971,6,287,0.13
2016-08-15 17:01:36,A5,37.61703,-122.37973,5,319,0.13
2016-08-15 17:01:37,A5,37.61704,-122.37976,5,309,0.13
2016-08-15 17:01:38,A5,37.61704,-122.37976,5,309,0.13
2016-08-15 17:01:39,A5,37.61705,-122.37978,6,319,0.13
2016-08-15 17:01:40,A5,37.61707,-122.37983,5,313,0.13
2016-08-15 17:01:41,A5,37.61708,-122.37987,5,304,0.13
2016-08-15 17:01:42,A5,37.61709000000001,-122.37988,5,338,0.13
2016-08-15 17:01:43,A5,37.61709000000001,-122.3799,4,287,0.13
2016-08-15 17:01:44,A5,37.61711,-122.37991,4,355,0.13
2016-08-15 17:01:45,A5,37.61712,-122.37993,5,319,0.13
2016-08-15 17:01:46,A5,37.61713,-122.37997,6,304,0.13
2016-08-15 17:01:48,A5,37.61711,-122.38002,6,260,0.13
2016-08-15 17:01:50,A5,37.61709000000001,-122.38012,5,272,0.13
2016-08-15 17:01:52,A5,37.61708,-122.38015,4,264,0.13
2016-08-15 17:01:53,A5,37.61707,-122.38016,4,235,0.13
2016-08-15 17:01:54,A5,37.61707,-122.38018,3,287,0.13
2016-08-15 17:01:56,A5,37.61705,-122.38023,5,260,0.13
2016-08-15 17:01:59,A5,37.61705,-122.38025,4,287,0.13
2016-08-15 17:00:04,A7,37.61551,-122.38121,0,158,0.06
2016-08-15 17:00:05,A7,37.61551,-122.38117,5,107,0.06
