iter	Passed	Remaining
694	1893	830
695	1895	827
696	1897	825
697	1900	822
698	1902	819
699	1906	817
700	1908	814
701	1911	811
702	1913	808
703	1916	805
704	1920	803
705	1923	801
706	1926	798
707	1930	796
708	1932	793
709	1935	790
710	1938	787
711	1940	784
712	1942	782
713	1946	779
714	1948	776
715	1951	773
716	1953	771
717	1955	768
718	1958	765
719	1961	762
720	1964	759
721	1966	757
722	1969	754
723	1972	751
724	1976	749
725	1979	746
726	1981	744
727	1984	741
728	1986	738
729	1989	735
730	1991	732
731	1993	729
732	1996	727
733	1998	724
734	2000	721
735	2003	718
736	2006	715
737	2008	713
738	2011	710
739	2013	707
740	2016	704
741	2018	701
742	2020	698
743	2023	696
744	2025	693
745	2028	690
746	2030	687
747	2032	684
748	2034	681
749	2037	679
750	2039	676
751	2042	673
752	2044	670
753	2046	667
754	2049	664
755	2051	662
756	2054	659
757	2056	656
758	2058	653
759	2061	651
760	2063	648
761	2066	645
762	2068	642
763	2070	639
764	2072	636
765	2076	634
766	2078	631
767	2080	628
768	2083	625
769	2085	623
770	2088	620
771	2090	617
772	2094	615
773	2096	612
774	2099	609
775	2102	606
776	2104	603
777	2106	601
778	2109	598
779	2111	595
780	2113	592
781	2116	589
782	2118	587
783	2121	584
784	2123	581
785	2127	579
786	2130	576
787	2133	573
788	2135	571
789	2137	568
790	2140	565
791	2143	562
792	2145	560
793	2148	557
794	2150	554
795	2152	551
796	2155	548
797	2158	546
798	2161	543
799	2163	540
800	2166	538
801	2168	535
802	2170	532
803	2174	530
804	2177	527
805	2179	524
806	2182	521
807	2184	519
808	2186	516
809	2189	513
810	2192	510
811	2194	508
812	2196	505
813	2199	502
814	2201	499
815	2203	496
816	2206	494
817	2208	491
818	2211	488
819	2213	485
820	2216	483
821	2218	480
822	2221	477
823	2223	474
824	2225	472
825	2228	469
826	2230	466
827	2233	464
828	2236	461
829	2239	458
830	2241	455
831	2243	453
832	2245	450
833	2248	447
834	2251	444
835	2253	442
836	2256	439
837	2258	436
838	2260	433
839	2262	430
840	2265	428
841	2267	425
842	2270	422
843	2272	420
844	2275	417
845	2277	414
846	2279	411
847	2281	409
848	2284	406
849	2287	403
850	2289	400
851	2292	398
852	2294	395
853	2296	392
854	2298	389
855	2301	387
856	2303	384
857	2306	381
858	2308	378
859	2311	376
860	2313	373
861	2315	370
862	2318	368
863	2320	365
864	2323	362
865	2325	359
866	2328	357
867	2330	354
868	2332	351
869	2335	348
870	2337	346
871	2340	343
872	2343	340
873	2345	338
874	2348	335
875	2350	332
876	2352	329
877	2354	327
878	2357	324
879	2360	321
880	2363	319
881	2366	316
882	2370	314
883	2373	311
884	2377	308
885	2380	306
886	2383	303
887	2388	301
888	2391	298
889	2395	296
890	2398	293
891	2401	290
892	2403	288
893	2406	285
894	2410	282
895	2413	280
896	2416	277
897	2419	274
898	2427	272
899	2432	270
900	2435	267
901	2438	264
902	2441	262
903	2444	259
904	2447	256
905	2450	254
906	2454	251
907	2458	249
908	2461	246
909	2464	243
910	2466	240
911	2468	238
912	2471	235
913	2473	232
914	2475	229
915	2478	227
916	2481	224
917	2483	221
918	2486	219
919	2488	216
920	2490	213
921	2492	210
922	2495	208
923	2497	205
924	2499	202
925	2501	199
926	2503	197
927	2505	194
928	2507	191
929	2510	188
930	2512	186
931	2514	183
932	2516	180
933	2518	177
934	2520	175
935	2523	172
936	2524	169
937	2527	167
938	2529	164
939	2532	161
940	2534	158
941	2536	156
942	2538	153
943	2540	150
944	2542	147
945	2546	145
946	2548	142
947	2550	139
948	2552	137
949	2554	134
950	2556	131
951	2558	129
952	2561	126
953	2564	123
954	2566	120
955	2569	118
956	2571	115
957	2573	112
958	2577	110
959	2581	107
960	2583	104
961	2585	102
962	2588	99
963	2590	96
964	2592	94
965	2595	91
966	2598	88
967	2600	85
968	2602	83
969	2604	80
970	2606	77
971	2608	75
972	2611	72
973	2616	69
974	2619	67
975	2622	64
976	2624	61
977	2627	59
978	2629	56
979	2632	53
980	2636	51
981	2640	48
982	2643	45
983	2646	43
984	2649	40
985	2654	37
986	2656	34
987	2658	32
988	2661	29
989	2663	26
990	2665	24
991	2667	21
992	2670	18
993	2672	16
994	2675	13
995	2677	10
996	2679	8
997	2681	5
998	2683	2
999	2685	0
