iter	Accuracy	Logloss
879	0.9997231451	0.03890506118
880	0.9997231451	0.03884063246
881	0.9997231451	0.03877506821
882	0.9997231451	0.03871792466
883	0.9997231451	0.03866460573
884	0.9997231451	0.03865446064
885	0.9997231451	0.03858202871
886	0.9997231451	0.03852222749
887	0.9997231451	0.03844498596
888	0.9997231451	0.03836537283
889	0.9997231451	0.03833873232
890	0.9997231451	0.03828257622
891	0.9997231451	0.03825216712
892	0.9997231451	0.03819317078
893	0.9997231451	0.03814586252
894	0.9997231451	0.03809634311
895	0.9997231451	0.03802577695
896	0.9997231451	0.0379948997
897	0.9997231451	0.03797718293
898	0.9997231451	0.03788054973
899	0.9997231451	0.03784240531
900	0.9997231451	0.03778671152
901	0.9997231451	0.03774969
902	0.9997231451	0.03768553182
903	0.9997231451	0.03761599963
904	0.9997231451	0.03754776857
905	0.9997231451	0.03745004876
906	0.9997231451	0.03740972875
907	0.9997231451	0.03734875149
908	0.9997231451	0.03728411007
909	0.9997231451	0.03718901599
910	0.9997231451	0.03711156307
911	0.9997231451	0.03706439353
912	0.9997231451	0.03698890555
913	0.9997231451	0.03696410683
914	0.9997231451	0.03694731925
915	0.9997231451	0.03689133655
916	0.9997231451	0.03685011191
917	0.9997231451	0.03680445821
918	0.9997231451	0.03675242478
919	0.9997231451	0.03670029286
920	0.9997231451	0.03662953289
921	0.9997231451	0.03661814567
922	0.9997231451	0.03658276505
923	0.9997231451	0.03653855743
924	0.9997231451	0.036479959
925	0.9997231451	0.03643719869
926	0.9997231451	0.03637530034
927	0.9997231451	0.03632452365
928	0.9997231451	0.0362758671
929	0.9997231451	0.03619844316
930	0.9997231451	0.03613309436
931	0.9997231451	0.03610858637
932	0.9997231451	0.03598563076
933	0.9997231451	0.03595066954
934	0.9997231451	0.03594185354
935	0.9997231451	0.0359283237
936	0.9997231451	0.03581517933
937	0.9997231451	0.03570228195
938	0.9997231451	0.03569178345
939	0.9997231451	0.03565123985
940	0.9997231451	0.03559921002
941	0.9997231451	0.0355426785
942	0.9997231451	0.03545260211
943	0.9997231451	0.03539024978
944	0.9997231451	0.03536313073
945	0.9997231451	0.03531367742
946	0.9997231451	0.03526851948
947	0.9997231451	0.03522021362
948	0.9997231451	0.03519914126
949	0.9997231451	0.03517593218
950	0.9997231451	0.03515493445
951	0.9997231451	0.03510060124
952	0.9997231451	0.0350465993
953	0.9997231451	0.03499663038
954	0.9997231451	0.03495865164
955	0.9997231451	0.0349367878
956	0.9997231451	0.03488719792
957	0.9997231451	0.03485847962
958	0.9997231451	0.03478524643
959	0.9997231451	0.03475067677
960	0.9997231451	0.03470106097
961	0.9997231451	0.03466751266
962	0.9997231451	0.03457167333
963	0.9997231451	0.03452802948
964	0.9997231451	0.0344961667
965	0.9997231451	0.03438381595
966	0.9997231451	0.03435098749
967	0.9997231451	0.0342828938
968	0.9997231451	0.03425872363
969	0.9997231451	0.03423531096
970	0.9997231451	0.03419406278
971	0.9997231451	0.03416659196
972	0.9997231451	0.03413272396
973	0.9997231451	0.03402229823
974	0.9997231451	0.03399472417
975	0.9997231451	0.03398178246
976	0.9997231451	0.03397123862
977	0.9997231451	0.03396241366
978	0.9997231451	0.03390341643
979	0.9997231451	0.03379868819
980	0.9997231451	0.03377063451
981	0.9997231451	0.03370496301
982	0.9997231451	0.03366095131
983	0.9997231451	0.03360516032
984	0.9997231451	0.03351190629
985	0.9997231451	0.03339587321
986	0.9997231451	0.03337977634
987	0.9997231451	0.03332187796
988	0.9997231451	0.03328384472
989	0.9997231451	0.03325981747
990	0.9997231451	0.03318585205
991	0.9997231451	0.03314773507
992	0.9997231451	0.033136667
993	0.9997231451	0.03309797394
994	0.9997231451	0.03305702498
995	0.9997231451	0.03301172657
996	0.9997231451	0.03295158525
997	0.9997231451	0.03290412953
998	0.9997231451	0.03286727767
999	0.9997231451	0.03279606564
